id,titulo,autor_o_autores,editorial,idioma,genero,isbn_13,isbn_10,source,source_id,confidence,review_status,metadata_source,metadata_confidence,conflict_notes,enriched_at,cover_url,cover_source,cover_local_path
1,Deep Learning with Python,Francois Chollet,Manning,ingles,Machine Learning / AI,9781638352044,1638352046,openlibrary,/works/OL19541947W,1.0000,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,,,
2,Understanding Deep Learning: Application in Rare Event Prediction,Cynthia Rudin,desconocido,ingles,Machine Learning / AI,,,,,0.0000,unresolved,,0.0000,,2026-03-04T21:19:11.242890+00:00,,,
3,Understanding Deep Learning,Simon J.D. Prince,MIT Press,ingles,Machine Learning / AI,9780262377102,0262377101,google_books,pPyxEAAAQBAJ,1.0000,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,,,
4,Probabilistic Machine Learning: An Introduction,Kevin P. Murphy,MIT Press,ingles,Machine Learning / AI,9780262046824,0262046822,google_books,wrZNEAAAQBAJ,1.0000,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,,,
5,Why Machines Learn,Anil Ananthaswamy,Dutton,ingles,Machine Learning / AI,9780593185759,0593185757,google_books,BZHPEAAAQBAJ,0.9308,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,,,
6,Structure and Interpretation of Computer Programs,Harold Abelson; Gerald Jay Sussman,MIT Press,ingles,Computer Science,9780262510875,0262510871,google_books,iL34DwAAQBAJ,1.0000,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,https://covers.openlibrary.org/b/isbn/9780262510875-L.jpg,openlibrary,data/covers/6_9780262510875.jpg
7,Learn Physics with Functional Programming,Scott N. Walck,No Starch Press,ingles,Programacion,9781718501676,1718501676,openlibrary,/works/OL28844268W,1.0000,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,,,
8,Grokking Algorithms,Aditya Bhargava,Manning,ingles,Programacion,9781617292231,1617292230,openlibrary,/works/OL19546865W,1.0000,auto_accepted,,0.0000,,2026-03-04T21:19:11.242890+00:00,https://covers.openlibrary.org/b/isbn/9781617292231-L.jpg,openlibrary,data/covers/8_9781617292231.jpg
