input_id,titulo_input,autores_input,source,source_id,titulo_candidato,autores_candidato,editorial_candidata,idioma_candidato,isbn_13,isbn_10,title_score,authors_score,language_score,publisher_score,score
42,Python for Finance,Yves Hilpisch,openlibrary,/works/OL19547348W,Python for Finance: Analyze Big Financial Data,Yves Hilpisch,"O'Reilly Media, Incorporated",ingles,9781491945285,1491945389,1.0000,1.0000,1.0000,1.0000,1.0000
42,Python for Finance,Yves Hilpisch,openlibrary,/works/OL19541900W,Python for Finance: Mastering Data-Driven Finance,Yves Hilpisch,O'Reilly Media,desconocido,9781492024330,1492024333,1.0000,1.0000,0.5000,1.0000,0.9500
42,Python for Finance,Yves Hilpisch,openlibrary,/works/OL38112937W,Python for Finance,Yves Hilpisch,"O'Reilly Media, Incorporated",ingles,9781492024316,1492024317,1.0000,1.0000,1.0000,1.0000,1.0000
43,The Ascent of Money,Niall Ferguson,openlibrary,/works/OL792952W,The ascent of money,Niall Ferguson,Thorndike Press,ingles,9780141990262,1846141060,1.0000,1.0000,1.0000,0.3636,0.9364
44,The Bitcoin Standard,Saifedean Ammous,openlibrary,/works/OL20984004W,The Bitcoin Standard,Saifedean Ammous; James Fouhey,"Wiley & Sons, Incorporated, John",ingles,9781119473893,1119473896,1.0000,1.0000,1.0000,1.0000,1.0000
44,The Bitcoin Standard,Saifedean Ammous,openlibrary,/works/OL19737774W,The bitcoin standard,Saifedean Ammous,Wiley,ingles,9781119473862,1119473861,1.0000,1.0000,1.0000,1.0000,1.0000
46,Strange Code,Ronald T. Kneusel,openlibrary,/works/OL27816046W,Strange Code,Ronald T. Kneusel,"No Starch Press, Incorporated",ingles,9781718502406,1718502400,1.0000,1.0000,1.0000,1.0000,1.0000
47,"Concepts, Techniques, and Models of Computer Programming",Peter van Roy; Seif Haridi,openlibrary,/works/OL16923212W,"Concepts, techniques, and models of computer programming",Peter Van Roy; Seif Haridi,The MIT Press,ingles,9780262220699,0262220695,1.0000,1.0000,1.0000,1.0000,1.0000
47,"Concepts, Techniques, and Models of Computer Programming",Peter van Roy; Seif Haridi,openlibrary,/works/OL39139227W,"Concepts, Techniques, and Models of Computer Programming",Peter Van-Roy; Seif Haridi,MIT Press,ingles,9781417501762,1417501766,1.0000,1.0000,1.0000,1.0000,1.0000
47,"Concepts, Techniques, and Models of Computer Programming",Peter van Roy; Seif Haridi,google_books,_bmyEnUnfTsC,"Concepts, Techniques, and Models of Computer Programming",Peter Van Roy; Seif Haridi,MIT Press,ingles,9780262220699,0262220695,1.0000,1.0000,1.0000,1.0000,1.0000
