id,decision,reason,fallback_score,title_score,authors_score,language_score,publisher_score,isbn_13,isbn_10,source,source_id,candidate_title,candidate_authors,candidate_publisher,candidate_language,applied_at
48,accept,accepted_rule,1.0000,1.0000,1.0000,1.0000,1.0000,9780201120370,0201524899,openlibrary,/works/OL5092129W,Introduction to algorithms,Udi Manber,"Addison-Wesley Longman, Limited",ingles,2026-03-04T22:03:28.274490+00:00
56,accept,accepted_rule,1.0000,1.0000,1.0000,1.0000,1.0000,9781449335946,1449335942,openlibrary,/works/OL17581286W,Parallel And Concurrent Programming In Haskell,Simon Marlow,"O'Reilly Media, Incorporated",ingles,2026-03-04T22:03:37.007246+00:00
89,accept,accepted_rule,0.8864,1.0000,1.0000,0.5000,0.3636,9780575075566,0575075562,openlibrary,/works/OL20315426W,Roma Eterna,Robert Silverberg,Gollancz,desconocido,2026-03-04T22:04:16.814143+00:00
105,accept,accepted_rule,1.0000,1.0000,1.0000,1.0000,1.0000,9781133187790,113318779X,openlibrary,/works/OL19859284W,Introduction to the theory of computation,Michael Sipser,Cengage Learning,ingles,2026-03-04T22:04:33.493850+00:00
126,accept,accepted_rule,1.0000,1.0000,1.0000,1.0000,1.0000,9781492044468,1492044466,openlibrary,/works/OL21655068W,Google BigQuery,Valliappa Lakshmanan; Jordan Tigani,O'Reilly Media,ingles,2026-03-04T22:05:44.094447+00:00
127,accept,accepted_rule,0.9209,1.0000,0.6835,1.0000,1.0000,9798400710520,0134638379,openlibrary,/works/OL18320872W,Information retrieval,William B. Frakes; R. Baeza-Yates; Ricardo Baeza-Yates,Prentice Hall,ingles,2026-03-04T22:05:58.056542+00:00
